borough,address,latitude,longitude
QN,CORPORAL STONE ST,40.7687399,-73.7715154
QN,39-19 212TH STREET,40.764291,-73.7730324
BK,253 LORRAINE STREET,40.672458,-73.9995133
BK,67 STREET,40.6276437,-74.007958
BK,1116 67 STREET,40.6269356,-74.0068448
BK,1060 66 STREET,40.6282778,-74.0074105
BK,5204 18TH AVENUE,40.6266381,-73.9831944
BK,OVINGTON AVENUE,40.6260244,-74.0060305
BK,EAST 42 STREET,40.6489323,-73.9380958
BK,3937 SHORE PARKWAY,40.5856325,-73.9295498
QN,30-75 21 STREET,40.7679071,-73.9289815
QN,35-24 105 STREET,40.7543658,-73.8633843
BK,FRONT STREET,40.7024624,-73.9818733
BK,PLYMOUTH STREET,40.7034009,-73.9804989
BK,76 HUDSON AVENUE,40.7026216,-73.9814044
BK,309 WATER STREET,40.7031156,-73.9815666
BK,BERRY STREET,40.7076711,-73.9658682
BK,451 BERRY STREET,40.7077589,-73.9657924
BK,449 BERRY STREET,40.7078001,-73.9657852
BK,1 DIVISION AVENUE,40.7082018,-73.9693847
BK,411 BERRY STREET,40.7092492,-73.9653336
BK,447 BERRY STREET,40.707855,-73.9658176
BK,69 SOUTH 8 STREET,40.7100318,-73.9664982
BK,BERRY STREET,40.7125864,-73.9640585
BK,SOUTH 1 STREET,40.7144634,-73.9626146
BX,439 DEVOE AVENUE,40.841677,-73.8767725
BX,1607 MELVILLE STREET,40.8404465,-73.8684913
BK,708 DRIGGS AVENUE,40.7135898,-73.9602199
BK,712 DRIGGS AVENUE,40.713491,-73.9602849
BK,183 SOUTH 1 STREET,40.7135953,-73.9603642
BK,181 SOUTH 1 STREET,40.7136283,-73.9604436
BK,SOUTH 1 STREET,40.7136585,-73.9605229
BX,1713 TAYLOR AVENUE,40.8422726,-73.8692901
BK,RIVER STREET,40.7178818,-73.9663716
BK,60 NORTH 1 STREET,40.7164375,-73.9646733
BX,1115 LEBANON STREET,40.8413685,-73.8757539
BX,1956 BIRCHALL AVENUE,40.8483374,-73.8684107
BK,1033 JEFFERSON AVENUE,40.6873902,-73.9174567
BX,1159 EAST TREMONT AVENUE,40.8400558,-73.8750552
BX,1157 EAST TREMONT AVENUE,40.8400724,-73.8751491
BX,416 BRONX PARK AVENUE,40.8401712,-73.8751237
BX,1119 EAST 179 STREET,40.8406937,-73.8760876
BX,EAST 180 STREET,40.8413288,-73.8745324
BX,427 LEBANON STREET,40.8408057,-73.8755995
BX,BRONX RIVER AVENUE,40.8405967,-73.8777539
MN,277 PLEASANT AVENUE,40.7942294,-73.9341144
BX,615 MEAD STREET,40.8423964,-73.867143
BX,644 BAKER AVENUE,40.842098,-73.8653907
BX,646 BAKER AVENUE,40.8422104,-73.865311
BX,611 MEAD STREET,40.8423526,-73.8672118
BX,WHITE PLAINS ROAD,40.8419797,-73.8651705
MN,6 AVENUE,40.7301667,-74.0017427
QN,87-80 191 STREET,40.7163125,-73.7716158
QN,FOOTHILL AVENUE,40.7207596,-73.7637396
QN,HILLSIDE AVENUE,40.7164261,-73.7707749
QN,40 AVENUE,40.7724798,-73.7435545
QN,87-15 PALERMO STREET,40.7186027,-73.7707602
QN,87-27 PALERNO STREET,40.7188592,-73.7700306
QN,194-32 DUNTON AVENUE,40.7191343,-73.7689438
QN,191-43 FOOTHILL AVENUE,40.7175366,-73.7702299
QN,193-19 CLOVER HILL ROAD,40.7188304,-73.7693561
BK,287 HENDRIX STREET,40.67501,-73.8896983
BK,280 HENDRIX STREET,40.675112,-73.8901704
BK,BRADFORD STREET,40.6733736,-73.8920695
BK,502 LIBERTY AVENUE,40.6749675,-73.8911873
BK,221 VAN SICLEN AVENUE,40.6746786,-73.8905316
QN,87-07 PALERMO STREET,40.7188801,-73.7708891
QN,97-19 PALERMO STREET,40.7187118,-73.7704568
QN,87-23 PALERMO STREET,40.7187855,-73.7702437
BK,492 GLENMORE AVENUE,40.6735574,-73.8920187
BK,382 HENDRIX STREET,40.6724627,-73.8895439
QN,199-46 KENO AVENUE,40.7221536,-73.7662817
QN,194-28 DUNTON AVENUE,40.719088,-73.7691568
BK,504 LIBERTY AVENUE,40.6749756,-73.8911188
BK,510 LIBERTY AVENUE,40.6749865,-73.8910431
BK,350 HENDRIX STREET,40.6733495,-73.88982
BK,2245 PITKIN AVENUE,40.6730666,-73.8896547
BK,GLENMORE AVENUE,40.6738629,-73.8929267
QN,192-12 HILLSIDE AVENUE,40.7162395,-73.769448
BK,388 MILLER AVENUE,40.67138,-73.8911787
QN,196 STREET,40.7142646,-73.7646464
BK,453 LIBERTY AVENUE,40.6751339,-73.8930581
BK,2744 ATLANTIC AVENUE,40.675883,-73.8928478
BK,VAN SICLEN AVENUE,40.6768618,-73.8916709
BX,612 GRAND CONCOURSE,40.8200114,-73.9262849
MN,CANAL STREET,40.7236641,-74.008121
QN,21 STREET,40.7534553,-73.942532
BK,2675 ATLANTIC AVENUE,40.67616,-73.8955872
BK,491 BELMONT AVENUE,40.67135,-73.8913915
MN,126 LAFAYETTE STREET,40.7189462,-74.0004221
MN,57 CROSBY STREET,40.7220889,-73.9981565
MN,32 THOMPSON STREET,40.7230111,-74.0038927
BK,VERMONT STREET,40.677063,-73.8954957
BK,2677 ATLANTIC AVENUE,40.6761709,-73.8955007
BK,2703 ATLANTIC AVENUE,40.6762387,-73.8946245
BK,WYONA STREET,40.6766772,-73.8938704
MN,CANAL STREET,40.7236724,-74.0074969
BK,511 LIBERTY AVENUE,40.6754585,-73.8908656
MN,63 VARICK STREET,40.7221573,-74.0066669
BK,LIBERTY AVENUE,40.6754994,-73.8905952
MN,144 SPRING STREET,40.7240624,-74.0013565
BK,118 NEW JERSEY AVENUE,40.6770309,-73.8964079
BK,2669 ATLANTIC AVENUE,40.67613,-73.8957676
BK,NEW JERSEY AVENUE,40.6768034,-73.8967579
BK,2673 ATLANTIC AVENUE,40.6761491,-73.895681
BK,2697 ATLANTIC AVENUE,40.6762306,-73.8946931
BK,2695 ATLANTIC AVENUE,40.6762169,-73.8947652
BK,2693 ATLANTIC AVENUE,40.6762033,-73.8948445
BK,399 LIBERTY AVENUE,40.6747982,-73.8951351
BK,397 LIBERTY AVENUE,40.67479,-73.8952036
BK,SEELEY STREET,40.6533883,-73.979991
BK,28 GEORGIA AVENUE,40.6764982,-73.8992856
BK,111 SHEFFIELD AVENUE,40.6747453,-73.8973379
BK,MILLER AVENUE,40.6774749,-73.8927443
BK,FULTON STREET,40.6777678,-73.891947
BK,187 HENDRIX STREET,40.6777389,-73.8903896
BK,133 VAN SICLEN AVENUE,40.6767515,-73.8911483
BK,129 VAN SICLEN AVENUE,40.6771935,-73.8911873
BK,213 SCHENCK AVENUE,40.675915,-73.888983
BK,BRADFORD STREET,40.6772831,-73.8930763
BX,ELLISON AVENUE,40.837446,-73.8359612
BX,2746 GIFFORD AVENUE,40.8311307,-73.8323524
BX,REVERE AVENUE,40.8334152,-73.8292244
BX,2719 BRUCKNER BOULEVARD,40.8306652,-73.8331124
BK,LAKE PLACE,40.5952152,-73.9796339
MN,545 WEST 37 STREET,40.7576225,-73.9994441
BK,32 VILLAGE ROAD NORTH,40.5962982,-73.9739983
BK,38 VILLAGE ROAD NORTH,40.5963586,-73.9738434
BK,LAKE STREET,40.5981701,-73.973659
BK,440 19 STREET,40.6577588,-73.9849021
BK,455 20 STREET,40.6575337,-73.9851256
BK,EAST 4 STREET,40.6517604,-73.9783373
BK,OCEAN PARKWAY,40.6084123,-73.9683176
BK,EAST 5 STREET,40.6051873,-73.9685604
BK,EAST 2 STREET,40.6055449,-73.9715349
BK,1070 OCEAN PARKWAY,40.622686,-73.9710017
BX,673 EAST 221 STREET,40.8855052,-73.8628834
BK,1162 FLUSHING AVENUE,40.7065097,-73.9246106
BX,745 EAST 222 STREET,40.8854248,-73.8599433
BX,841 EAST 223 STREET,40.8852151,-73.8567793
BX,850A EAST 223 STREET,40.8847265,-73.856708
QN,SENECA AVENUE,40.708822,-73.9183535
BX,3806 WHITE PLAINS ROAD,40.8837891,-73.8623408
BX,EAST 221 STREET,40.8845878,-73.8600174
BK,VAN SICKLEN STREET,40.5931804,-73.9753569
QN,1863 STARR STREET,40.7107923,-73.9177379
BX,EAST 221 STREET,40.8844335,-73.8595223
BX,761 EAST 222 STREET,40.8852265,-73.8593217
BX,813 EAST 223 STREET,40.885532,-73.8577768
BK,WEST 7 STREET,40.5931397,-73.9775966
BK,WEST 7 STREET,40.5939028,-73.9777439
BK,STERLING PLACE,40.674018,-73.9591368
BK,LAKE STREET,40.5910668,-73.9748104
BK,11 SOUTHGATE COURT,40.5912392,-73.97247
BK,VAN SICKLEN STREET,40.5922363,-73.9755229
BK,VAN SICKLEN STREET,40.5919262,-73.9759587
BK,CARROLL STREET,40.6668916,-73.9383278
BK,1512 UNION STREET,40.6680284,-73.9393325
BK,1332 PRESIDENT STREET,40.6674854,-73.9455907
BK,1751 WEST 1 STREET,40.60526,-73.974074
BK,WEST 3 STREET,40.6030562,-73.9755153
BK,137 MONTGOMERY STREET,40.666558,-73.9599993
BK,145 MONTGOMERY STREET,40.6665168,-73.959765
BK,995 PRESIDENT STREET,40.6692695,-73.959028
BK,884 FRANKLIN AVENUE,40.6683391,-73.9591259
BK,576 STERLING PLACE,40.6735186,-73.9594291
BK,VAN SICKLEN STREET,40.597863,-73.9751679
BX,1424 FERRIS PLACE,40.8399705,-73.8413544
BX,EAST TREMONT AVENUE,40.8402721,-73.8411802
BK,1040 HALSEY STREET,40.687409,-73.9132055
BK,BROADWAY,40.6848345,-73.9133278
BK,325 AVENUE U,40.5973463,-73.9720966
BX,1301 HERSCHELL STREET,40.8357041,-73.8426041
BK,29 WYTHE AVENUE,40.7229617,-73.9562423
BX,BUTLER PLACE,40.8361813,-73.8463867
BK,59 SCHAEFER STREET,40.686255,-73.9115447
BK,50A HULL STREET,40.6788986,-73.9147308
MN,8 WEST 14 STREET,40.7359416,-73.994674
MN,44 WEST 8 STREET,40.7329499,-73.9986433
BX,180 EAST 132 STREET,40.8044399,-73.9252726
BX,839 EAST 135 STREET,40.8017206,-73.910817
BK,810 MAC DONOUGH STREET,40.6842063,-73.9138298
QN,117-03 CURZON ROAD,40.7051812,-73.8351939
BK,31 THOMAS S BOYLAND ST,40.6841903,-73.914468
BK,1653 BROADWAY,40.6847933,-73.9132557
BK,1629 BROADWAY,40.6852083,-73.9140412
